node_id,degree,name,kind,longitude,latitude,terrain_elevation_m,terrain_source,radome_height_agl_m,target_altitude_m,coverage_radius_km,nearby_city_count,radius_status
airport:-46.49236898:-18.67073444,1,Aeroporto Pedro Pereira dos Santos,airport,-46.49236897645827,-18.6707344363763,855.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,347.36,440,geometric_upper_bound_topographic_occlusion_pending
airport:-36.63013335:-9.77604832,2,Aerpoporto de Arapiraca,airport,-36.63013334557967,-9.776048323958713,256.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,293.635,416,geometric_upper_bound_topographic_occlusion_pending
airport:-39.27224470:-7.21517467,1,Aeroporto Orlando Bezerra de Menezes,airport,-39.27224470033127,-7.215174674412705,405.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,310.254,413,geometric_upper_bound_topographic_occlusion_pending
airport:-53.69353462:-29.70926196,0,Aeroporto de Santa Maria,airport,-53.69353461994754,-29.709261960694743,89.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,267.816,405,geometric_upper_bound_topographic_occlusion_pending
airport:-34.94885449:-7.14610637,1,Aeroporto Internacional Presidente Castro Pinto,airport,-34.94885448597934,-7.146106374970416,65.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,262.648,387,geometric_upper_bound_topographic_occlusion_pending
airport:-35.79249635:-9.51426110,2,Aeroporto Internacional  Zumbi dos Palmares,airport,-35.79249635056293,-9.514261099010977,117.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,273.137,376,geometric_upper_bound_topographic_occlusion_pending
airport:-47.90107399:-18.21988768,5,Aeroporto de Catalão João Netto de Campos,airport,-47.901073985625466,-18.2198876750821,807.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,343.959,375,geometric_upper_bound_topographic_occlusion_pending
capital:2507507,1,João Pessoa,capital,-34.861604562,-7.12860940599995,44.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,257.441,361,geometric_upper_bound_topographic_occlusion_pending
airport:-41.18884925:-20.83619535,1,Aeroporto Cachoeiro de Itapemirim,airport,-41.18884925493469,-20.836195347000675,67.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,263.106,352,geometric_upper_bound_topographic_occlusion_pending
airport:-34.91821701:-8.13141810,1,Aeroporto Internacional  Guararapes Gilberto Freyre,airport,-34.918217013510876,-8.131418097100651,14.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,247.978,351,geometric_upper_bound_topographic_occlusion_pending
airport:-54.48857718:-25.59779817,3,Aeroporto Internacional Cataratas,airport,-54.48857717676876,-25.597798173483206,229.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,290.166,344,geometric_upper_bound_topographic_occlusion_pending
capital:2611606,1,Recife,capital,-34.879125316999904,-8.04263950999996,5.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,244.214,343,geometric_upper_bound_topographic_occlusion_pending
airport:-40.86231929:-14.86659965,1,Aeroporto Vitória da Conquista,airport,-40.862319289616686,-14.866599653550905,912.0,Mapzen Terrain Tiles terrarium z8,15.0,3000.0,351.28,339,geometric_upper_bound_topographic_occlusion_pending
